Id,LotArea,LotShape,LandContour,Utilities,LotConfig,Slope,DwellClass,OverallQuality,OverallCondition,YearBuilt,ExteriorCondition,BasementCondition,TotalBSF,CentralAir,LowQualFinSF,LivingArea,FullBath,HalfBath,BedroomAbvGr,KitchenQuality,KitchenAbvGr,TotalRmsAbvGrd,Fireplaces,GarageType,GarageCars,PavedDrive,PoolArea,OpenPorchSF,MoSold,YrSold,SalePrice
25,8246,3,Lvl,AllPub,Inside,Gtl,1Fam,5,8,1968,Gd,TA,1060,Y,0,1060,1,0,3,Gd,1,6,1,Attchd,1,Y,0,90,5,2010,154000
29,16321,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,6,1957,TA,TA,1484,Y,0,1600,1,0,2,TA,1,6,2,Attchd,1,Y,0,258,12,2006,207500
30,6324,3,Lvl,AllPub,Inside,Gtl,1Fam,4,6,1927,TA,TA,520,N,0,520,1,0,1,Fa,1,4,0,Detchd,1,Y,0,0,5,2008,68500
32,8544,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,6,1966,TA,TA,1228,Y,0,1228,1,1,3,Gd,1,6,0,Attchd,1,Y,0,65,6,2008,149350
34,10552,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1959,TA,TA,1398,Y,0,1700,1,1,4,Gd,1,6,1,Attchd,2,Y,0,38,4,2010,165500
43,9180,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,7,1983,TA,TA,840,Y,0,884,1,0,2,Gd,1,5,0,Attchd,2,Y,0,0,12,2007,144000
44,9200,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,6,1975,TA,TA,938,Y,0,938,1,0,3,TA,1,5,0,Detchd,1,Y,0,0,7,2008,130250
47,12822,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,2003,TA,TA,1434,Y,0,2149,1,1,1,Gd,1,6,1,Attchd,2,Y,0,43,8,2009,239686
54,50271,3,Low,AllPub,Inside,Gtl,1Fam,9,5,1981,TA,TA,1842,Y,0,1842,0,1,0,Gd,1,5,1,Attchd,3,Y,0,72,11,2006,385000
56,10175,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1964,TA,TA,1425,Y,0,1425,2,0,3,TA,1,7,1,Attchd,2,Y,0,0,7,2008,180500
58,11645,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,2004,TA,TA,860,Y,0,1720,2,1,3,Gd,1,7,0,Attchd,2,Y,0,70,8,2006,196500
63,6442,3,Lvl,AllPub,Inside,Gtl,TwnhsE,8,5,2006,TA,Gd,1370,Y,0,1370,2,0,2,Gd,1,6,1,Attchd,2,Y,0,49,10,2007,202500
64,10300,3,Bnk,AllPub,Inside,Gtl,1Fam,7,6,1921,TA,TA,576,Y,0,1710,2,0,3,TA,1,9,0,Detchd,2,Y,0,11,4,2010,140000
68,10665,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2003,TA,TA,1453,Y,0,1479,2,0,3,Gd,1,7,0,Attchd,2,Y,0,29,6,2007,226000
71,13651,3,Lvl,AllPub,Inside,Gtl,1Fam,7,6,1973,Gd,TA,2223,Y,0,2223,2,0,3,TA,1,8,2,Attchd,2,Y,0,0,2,2007,244000
73,10141,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,1998,TA,TA,832,Y,0,1718,2,1,3,TA,1,7,1,Attchd,2,Y,0,94,12,2009,185000
77,8475,3,Lvl,AllPub,Inside,Gtl,1Fam,4,7,1956,TA,TA,952,Y,0,952,1,0,2,TA,1,4,0,Detchd,1,Y,0,0,4,2008,135750
84,8892,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1960,TA,TA,1065,Y,0,1065,1,1,3,TA,1,6,0,Detchd,2,Y,0,0,7,2007,126500
85,8530,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1995,TA,TA,384,Y,0,1474,2,1,3,TA,1,7,1,BuiltIn,2,Y,0,72,5,2009,168500
89,8470,3,Lvl,AllPub,Corner,Gtl,1Fam,3,2,1915,Fa,Fa,1013,N,513,1526,1,0,2,Fa,1,6,0,NA,0,N,0,0,10,2009,85000
93,13360,3,HLS,AllPub,Inside,Gtl,1Fam,5,7,1921,Gd,TA,876,Y,0,964,1,0,2,TA,1,5,0,Detchd,2,Y,0,0,8,2009,163500
95,9337,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1997,Gd,TA,824,Y,0,,2,1,3,Gd,1,7,0,Attchd,2,Y,0,162,5,2007,204750
97,10264,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1999,TA,TA,1588,Y,0,1588,2,0,3,Gd,1,6,0,Attchd,2,Y,0,29,8,2006,214000
100,9320,3,Lvl,AllPub,Inside,Gtl,1Fam,4,5,1959,TA,TA,950,Y,0,1225,1,1,3,TA,1,6,0,NA,0,Y,0,0,1,2010,128950
101,10603,3,Lvl,AllPub,Inside,Gtl,1Fam,6,7,1977,TA,TA,1610,Y,0,1610,2,0,3,Gd,1,6,2,Attchd,2,Y,0,68,2,2010,205000
104,10402,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,2009,TA,TA,1226,Y,0,1226,2,0,3,Gd,1,6,0,Attchd,3,Y,0,36,5,2010,198900
110,11751,3,Lvl,AllPub,Inside,Gtl,1Fam,6,6,1977,TA,TA,1844,Y,0,1844,2,0,3,TA,1,7,1,Attchd,2,Y,0,122,1,2010,190000
112,7750,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2000,TA,TA,384,Y,0,1430,2,1,3,TA,1,7,1,BuiltIn,2,Y,0,0,4,2010,180000
115,7259,3,Lvl,AllPub,Inside,Mod,1Fam,6,8,1945,TA,TA,1028,Y,0,2320,2,1,3,Gd,1,9,1,Detchd,1,Y,0,0,7,2007,259500
121,21453,3,Low,AllPub,CulDSac,Sev,1Fam,6,5,1969,TA,TA,938,Y,0,988,1,0,1,TA,1,4,2,Attchd,2,Y,0,130,10,2006,180000
125,17043,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,5,1979,Gd,Fa,1362,Y,0,1586,2,0,3,TA,1,7,1,Attchd,2,Y,0,0,1,2009,181000
127,4928,3,Lvl,AllPub,Inside,Gtl,TwnhsE,6,5,1976,TA,TA,1078,Y,0,958,2,0,2,TA,1,5,1,Attchd,2,Y,0,205,2,2007,128000
128,4388,3,Bnk,AllPub,Inside,Gtl,1Fam,5,7,1930,Gd,TA,672,Y,0,840,1,0,3,TA,1,5,1,NA,0,N,0,0,6,2007,87000
132,12224,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,2000,TA,TA,992,Y,0,2054,2,1,3,Gd,1,7,1,BuiltIn,2,Y,0,48,7,2009,244000
134,6853,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,,TA,TA,1267,Y,0,1296,2,0,2,Gd,1,6,0,Attchd,2,Y,0,25,6,2009,220000
135,10335,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1968,TA,TA,1461,Y,0,1721,2,1,3,TA,1,7,1,Attchd,2,Y,0,96,7,2006,180000
137,10355,3,Lvl,AllPub,Corner,Gtl,1Fam,5,5,1967,TA,TA,1214,Y,0,1214,2,0,3,TA,1,5,1,Attchd,1,Y,0,111,7,2007,143000
139,9066,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,1999,TA,TA,1004,Y,0,1852,2,1,3,Gd,1,7,2,Attchd,3,Y,0,106,12,2008,230000
140,15426,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1997,TA,TA,928,Y,0,1764,2,1,3,Gd,1,7,0,Attchd,2,Y,0,99,8,2009,231500
144,10335,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1999,TA,TA,1490,Y,0,1501,2,0,3,Gd,1,6,0,Attchd,2,Y,0,29,6,2009,204000
148,9505,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,2001,TA,TA,884,Y,0,2035,2,1,3,Gd,1,8,1,BuiltIn,2,Y,0,48,5,2010,222500
153,14803,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,5,1971,TA,TA,825,Y,0,1993,2,1,4,TA,1,8,1,Attchd,2,Y,0,66,6,2006,190000
160,19378,3,HLS,AllPub,Corner,Gtl,1Fam,7,5,2005,TA,TA,1392,Y,0,2462,2,1,4,Gd,1,9,1,Attchd,2,Y,0,132,3,2006,320000
161,11120,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,6,1984,TA,TA,1232,Y,0,1232,2,0,3,TA,1,6,0,Attchd,2,Y,0,0,6,2008,162500
162,13688,3,Lvl,AllPub,Inside,Gtl,1Fam,9,5,2003,TA,TA,1572,Y,0,2668,2,1,3,Ex,1,10,2,BuiltIn,3,Y,0,0,3,2008,412500
167,10708,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1955,TA,TA,1617,Y,0,1867,1,0,2,TA,1,7,3,Attchd,1,Y,0,0,11,2009,190000
169,8244,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2004,TA,TA,840,Y,0,1720,2,1,3,Gd,1,7,1,Attchd,2,Y,0,48,5,2007,183500
170,16669,3,Lvl,AllPub,Corner,Gtl,1Fam,8,6,1981,TA,TA,1686,Y,0,1707,2,1,2,TA,1,6,1,Attchd,2,Y,0,64,1,2006,228000
171,12358,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1941,TA,TA,720,Y,528,1382,1,1,2,TA,1,7,0,Detchd,2,Y,0,0,5,2007,128500
172,31770,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1960,TA,Gd,1080,Y,0,1656,1,0,3,TA,1,7,2,Attchd,2,P,0,62,5,2010,215000
173,5306,3,Lvl,AllPub,Inside,Gtl,TwnhsE,7,7,1987,Gd,Gd,1064,Y,0,1767,2,0,2,Gd,1,5,1,Attchd,2,Y,0,35,6,2006,239000
174,10197,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1961,TA,TA,1362,Y,0,1362,1,1,3,TA,1,6,1,Attchd,2,Y,0,20,6,2008,163000
175,12416,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1986,TA,Fa,1606,Y,0,1651,2,0,3,TA,1,7,1,Attchd,2,Y,0,0,11,2008,184000
177,10029,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1988,TA,TA,1151,Y,0,2060,2,1,4,TA,1,8,1,Attchd,2,Y,0,228,9,2007,211000
179,17423,3,Lvl,AllPub,CulDSac,Gtl,1Fam,9,5,2008,TA,TA,2216,Y,0,2234,2,0,1,Ex,1,9,1,Attchd,3,Y,0,60,7,2009,501837
185,7438,3,Lvl,AllPub,Inside,Gtl,1Fam,5,8,1908,TA,TA,504,Y,0,1252,1,0,3,TA,1,5,0,Attchd,2,Y,0,0,6,2006,127000
187,9947,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,1990,TA,TA,1188,Y,0,1217,2,0,3,Gd,1,6,0,Attchd,2,Y,0,27,6,2009,173000
192,7472,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,9,1972,TA,TA,725,Y,0,1479,1,1,4,Gd,1,7,0,Attchd,2,Y,0,32,6,2007,184000
193,9017,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1999,TA,TA,1431,Y,0,1431,2,0,3,Gd,1,6,0,Attchd,2,Y,0,35,9,2009,192000
195,7180,3,Lvl,AllPub,Inside,Gtl,1Fam,5,7,1972,TA,TA,864,Y,0,864,1,0,3,TA,1,5,0,Detchd,1,Y,0,0,5,2008,127000
207,13673,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,5,1962,Gd,TA,1140,Y,0,1696,1,1,3,TA,1,8,1,Attchd,1,Y,0,30,3,2007,143900
208,12493,3,Lvl,AllPub,Inside,Gtl,1Fam,4,5,1960,TA,TA,1100,Y,0,1100,1,0,3,TA,1,6,1,Attchd,1,Y,0,0,4,2008,141000
209,14364,3,Low,AllPub,Inside,Mod,1Fam,7,5,1988,TA,TA,1157,Y,0,2062,2,1,3,TA,1,7,1,Attchd,2,Y,0,55,4,2007,277000
215,10900,3,Lvl,AllPub,FR2,Gtl,1Fam,6,7,1977,TA,TA,689,Y,0,1392,1,1,3,TA,1,6,0,Attchd,1,Y,0,36,3,2010,161750
216,10011,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1957,TA,TA,1070,Y,0,1236,1,0,2,Gd,1,6,1,Attchd,1,Y,0,0,5,2006,134450
219,15660,3,Lvl,AllPub,Corner,Gtl,1Fam,7,9,1939,Gd,TA,798,Y,0,1954,1,1,3,Gd,1,8,2,Attchd,2,Y,0,119,5,2008,311500
221,8990,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2006,TA,TA,1498,Y,0,1498,2,0,2,Gd,1,5,0,Attchd,2,Y,0,33,4,2006,204900
222,8068,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,2002,TA,TA,1010,Y,0,2267,2,1,4,Gd,1,8,1,BuiltIn,2,Y,0,46,12,2009,200000
227,9950,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1995,TA,TA,1203,Y,0,2520,2,1,4,Gd,1,9,1,Attchd,3,Y,0,114,6,2007,290000
232,15138,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,1995,TA,TA,1462,Y,0,2794,2,1,4,Ex,1,9,1,Attchd,3,Y,0,146,7,2009,403000
238,9453,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,7,1993,TA,TA,996,Y,0,1744,2,1,3,Gd,1,7,0,Attchd,2,Y,0,70,2,2010,194500
245,8880,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1994,TA,TA,948,Y,0,2110,2,1,3,Gd,1,8,2,Attchd,2,Y,0,130,5,2010,205000
252,4750,3,HLS,AllPub,Inside,Mod,TwnhsE,8,5,2006,TA,TA,1573,Y,0,1625,2,0,2,Gd,1,5,1,Attchd,2,Y,0,0,12,2007,235000
253,8366,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,2004,TA,TA,798,Y,0,1640,2,1,3,Gd,1,6,0,Attchd,2,Y,0,45,12,2008,173000
256,8738,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1999,TA,TA,975,Y,0,2291,2,1,4,Gd,1,8,1,BuiltIn,2,Y,0,0,2,2006,230000
257,8791,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,2003,TA,TA,864,Y,0,1728,2,1,3,Gd,1,7,0,Attchd,2,Y,0,56,5,2008,207500
262,9588,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2007,TA,TA,1482,Y,0,2574,2,1,3,Ex,1,10,1,BuiltIn,3,Y,0,148,11,2007,276000
263,8471,3,Lvl,AllPub,Corner,Gtl,1Fam,6,7,1977,TA,Gd,506,Y,0,1212,1,0,3,TA,1,6,1,Attchd,2,Y,0,12,7,2006,151000
266,12090,3,Lvl,AllPub,Inside,Gtl,1Fam,6,6,1981,Gd,TA,1422,Y,0,1422,2,0,3,Gd,1,7,1,Attchd,2,Y,0,0,6,2008,175500
267,11207,3,HLS,AllPub,FR2,Gtl,1Fam,6,5,1997,TA,TA,802,Y,0,1511,2,1,3,TA,1,8,1,Attchd,2,Y,0,75,6,2006,185000
270,7917,3,Lvl,AllPub,Corner,Gtl,1Fam,6,7,1976,Gd,Gd,1143,Y,0,1113,1,1,3,TA,1,6,1,Attchd,1,Y,0,30,5,2007,148000
272,39104,3,Low,AllPub,CulDSac,Sev,1Fam,7,7,1954,TA,TA,1385,Y,0,,1,0,2,TA,1,5,2,Attchd,2,Y,0,0,4,2008,241500
273,11764,3,Lvl,AllPub,CulDSac,Gtl,1Fam,8,7,1999,TA,TA,1152,Y,0,2270,2,1,4,Gd,1,9,1,Attchd,3,Y,0,57,4,2010,290000
277,9196,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2003,TA,TA,1560,Y,0,1560,2,0,3,Gd,1,7,0,Attchd,2,Y,0,150,4,2010,201000
286,4251,3,Lvl,AllPub,Inside,Gtl,TwnhsE,7,5,2006,TA,TA,625,Y,0,1250,2,1,2,Gd,1,5,0,Detchd,2,Y,0,54,6,2007,164700
287,9786,3,Bnk,AllPub,Inside,Gtl,1Fam,6,7,1962,TA,TA,912,Y,0,1734,1,1,3,Gd,1,7,1,Attchd,2,Y,0,0,6,2006,159000
288,8125,3,Lvl,AllPub,Corner,Gtl,1Fam,4,4,1971,TA,TA,858,Y,0,858,1,0,3,TA,1,5,0,NA,0,Y,0,0,6,2006,88000
289,9819,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1967,Gd,TA,882,Y,0,900,1,0,3,TA,1,5,0,Detchd,1,Y,0,0,2,2010,122000
294,16659,3,Lvl,AllPub,Corner,Gtl,1Fam,7,7,1977,TA,TA,795,Y,0,2263,2,1,3,Gd,1,9,1,Attchd,2,Y,0,250,3,2006,235000
296,7937,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,6,1984,TA,TA,1003,Y,0,1003,1,0,3,TA,1,6,0,Detchd,2,Y,0,0,3,2006,142500
298,7399,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1997,TA,TA,975,Y,0,1950,2,1,3,Gd,1,7,1,Detchd,2,Y,0,10,6,2007,239000
303,13704,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,2001,TA,TA,1541,Y,0,1541,2,0,3,Gd,1,6,1,Attchd,3,Y,0,81,1,2006,205000
308,7920,3,Lvl,AllPub,Inside,Gtl,1Fam,6,7,1920,Fa,TA,319,Y,0,1406,1,0,3,Fa,1,6,0,NA,0,N,0,144,3,2008,89500
309,12342,3,Lvl,AllPub,Inside,Gtl,1Fam,4,5,1940,TA,TA,861,Y,0,861,1,0,1,TA,1,4,0,Detchd,2,Y,0,0,3,2009,82500
310,12378,3,Lvl,AllPub,Inside,Gtl,1Fam,9,5,2003,TA,TA,1896,Y,0,1944,2,0,3,Ex,1,8,3,Attchd,3,Y,0,175,11,2006,360000
311,7685,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1993,TA,TA,697,Y,0,1501,2,1,3,Gd,1,6,1,Attchd,2,Y,0,63,5,2006,165600
316,7795,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2004,TA,TA,716,Y,0,1432,2,1,3,Gd,1,6,1,Attchd,2,Y,0,51,7,2009,188500
317,13005,3,Lvl,AllPub,Corner,Gtl,1Fam,7,7,1980,TA,TA,845,Y,0,2353,2,1,4,Ex,1,10,1,Attchd,2,Y,0,195,8,2009,260000
322,12099,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2004,TA,TA,1136,Y,0,2468,2,1,4,Gd,1,10,1,BuiltIn,3,Y,0,154,6,2007,354000
323,10380,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1986,TA,TA,1502,Y,0,2730,2,1,4,Gd,1,8,1,Attchd,2,Y,0,96,8,2007,301000
327,10846,3,Lvl,AllPub,CulDSac,Gtl,TwnhsE,8,5,1993,TA,TA,1719,Y,0,1719,1,1,1,Gd,1,6,2,Attchd,2,Y,0,30,5,2008,324000
329,11888,3,Bnk,AllPub,Inside,Gtl,1Fam,6,6,1916,TA,TA,844,N,0,2134,2,0,5,Gd,1,10,0,Detchd,2,Y,0,60,7,2009,214500
331,10624,3,Lvl,AllPub,Inside,Gtl,Duplex,5,4,1964,TA,TA,1728,Y,0,1728,2,0,6,TA,2,10,0,Detchd,1,Y,0,0,11,2007,119000
333,10655,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2003,TA,TA,3206,Y,0,1629,2,0,3,Gd,1,7,1,Attchd,3,Y,0,0,10,2009,284000
335,9042,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1998,TA,TA,943,Y,0,1638,2,1,3,TA,1,7,2,Attchd,2,Y,0,38,7,2008,192000
336,164660,3,HLS,AllPub,Corner,Sev,2fmCon,5,6,1965,TA,TA,1499,Y,0,1786,2,0,3,TA,1,7,2,Attchd,2,Y,0,0,8,2008,228950
337,14157,3,HLS,AllPub,Corner,Gtl,1Fam,9,5,2005,TA,TA,1922,Y,0,1922,2,0,3,Gd,1,8,1,Attchd,3,Y,0,51,7,2007,377426
340,12400,3,Lvl,AllPub,Inside,Gtl,1Fam,6,7,1958,TA,Fa,1215,Y,0,1215,1,0,3,TA,1,6,0,Attchd,1,Y,0,0,6,2009,155000
344,8849,3,Lvl,AllPub,Inside,Gtl,TwnhsE,9,5,2005,TA,TA,1684,Y,0,1684,2,0,2,Ex,1,6,1,Attchd,2,Y,0,72,7,2008,266000
347,12772,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,8,1960,Gd,TA,958,Y,0,958,1,0,2,TA,1,5,0,Attchd,1,Y,0,0,4,2007,151500
348,17600,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1960,TA,TA,1478,Y,0,1478,2,0,3,TA,1,6,2,Attchd,2,Y,0,40,12,2009,157500
351,7820,3,Lvl,AllPub,Inside,Gtl,TwnhsE,9,5,2007,TA,TA,1869,Y,0,1869,2,0,2,Ex,1,6,1,Attchd,2,Y,0,54,12,2007,318061
352,5271,3,Low,AllPub,Inside,Mod,1Fam,7,5,1986,TA,TA,1453,Y,0,1453,1,1,2,Gd,1,6,1,Attchd,2,Y,0,80,12,2006,190000
357,9248,3,Lvl,AllPub,Inside,Gtl,1Fam,6,6,1992,TA,TA,1158,Y,0,1167,2,0,3,Gd,1,6,0,Attchd,2,Y,0,26,7,2009,173000
359,6930,3,Lvl,AllPub,Inside,Gtl,1Fam,5,4,1958,TA,TA,1062,Y,0,1352,1,0,3,Gd,1,6,0,BuiltIn,1,Y,0,0,7,2006,130000
360,12011,3,Lvl,AllPub,CulDSac,Gtl,1Fam,8,5,1998,TA,TA,1086,Y,0,1924,2,1,3,Gd,1,7,1,Attchd,2,Y,0,75,6,2006,280000
361,7540,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,6,1978,TA,TA,888,Y,0,912,1,0,2,TA,1,5,1,Attchd,2,Y,0,0,6,2007,156000
365,18800,3,Lvl,AllPub,FR2,Gtl,1Fam,6,5,1976,TA,TA,796,Y,0,1574,2,1,3,TA,1,6,1,Attchd,2,Y,0,111,7,2006,190000
367,9500,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1963,TA,TA,1394,Y,0,1394,1,1,3,TA,1,6,2,Attchd,2,Y,0,76,7,2009,159000
368,9150,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1962,TA,TA,1099,Y,0,1431,1,0,3,TA,1,6,1,Basment,1,Y,0,110,12,2008,165000
370,9830,3,Lvl,AllPub,Corner,Gtl,1Fam,5,7,1959,Gd,TA,1063,Y,0,1287,1,0,3,Gd,1,7,1,Detchd,2,Y,0,17,3,2010,162000
371,8121,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,2000,TA,TA,953,Y,0,1664,2,1,3,TA,1,7,1,Attchd,2,Y,0,40,1,2006,172400
377,8846,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,5,1996,TA,TA,870,Y,0,914,1,0,2,TA,1,5,0,Detchd,2,Y,0,0,7,2006,148000
378,11143,3,Lvl,AllPub,Corner,Gtl,1Fam,8,5,2004,TA,TA,1580,Y,0,2466,3,0,4,Gd,1,8,1,Attchd,2,Y,0,214,12,2007,340000
380,8123,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,2000,TA,TA,982,Y,0,1800,2,1,3,TA,1,7,1,Attchd,2,Y,0,63,6,2009,179000
383,9245,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2006,TA,TA,939,Y,0,1797,2,1,3,Gd,1,8,0,Attchd,2,Y,0,53,4,2007,213500
389,9382,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,1999,TA,TA,1468,Y,0,1479,2,0,3,Gd,1,6,0,Attchd,2,Y,0,25,7,2008,191000
392,12209,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,5,2001,TA,TA,804,Y,0,1961,2,1,3,Gd,1,7,1,BuiltIn,2,Y,0,192,6,2009,215000
393,8339,3,Lvl,AllPub,Inside,Gtl,1Fam,5,7,1959,TA,NB,0,Y,0,882,1,0,3,TA,1,5,0,Attchd,1,Y,0,0,7,2007,106500
402,8767,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2005,TA,TA,1310,Y,0,1310,2,0,3,Gd,1,6,1,Attchd,2,Y,0,0,7,2006,164990
405,10364,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1995,TA,TA,806,Y,0,1572,2,1,3,TA,1,7,1,BuiltIn,2,Y,0,40,5,2007,168000
406,9991,3,Lvl,AllPub,Corner,Gtl,1Fam,4,4,1976,TA,TA,1281,Y,0,1620,2,0,3,TA,1,8,1,Attchd,2,Y,0,78,6,2009,150000
416,8899,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2007,TA,TA,1340,Y,0,1340,2,0,3,Gd,1,6,0,Attchd,2,Y,0,30,8,2007,181134
418,22420,3,Lvl,AllPub,Inside,Gtl,1Fam,6,6,1918,TA,TA,1370,N,0,2624,2,1,4,TA,1,10,1,Detchd,3,N,0,0,11,2007,239000
422,16635,3,Lvl,AllPub,FR2,Gtl,1Fam,6,7,1977,TA,TA,1602,Y,0,1602,2,0,3,Gd,1,8,1,Attchd,2,Y,0,0,6,2009,215000
428,8593,3,Lvl,AllPub,Inside,Gtl,1Fam,4,6,1957,TA,TA,907,Y,0,907,1,0,3,TA,1,5,0,Detchd,1,Y,0,0,7,2008,109008
